Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
WOTU,Bangalore,food and beverage,It operates a business-to-business e-commerce portal for food and beverages.,1512135.0,Seed,2018,Food & Beverages
Flathalt,Gurgaon,fintech,FInd your Customized Home here.,730.5,Seed,2018,Finance
True Elements,Pune,dietary supplements,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,730500.0,Seed,2018,Health
Trendlyne Technologies,Bangalore,financial services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2922.0,Seed,2018,Finance
Planys Technologies,Chennai,manufacturing,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2048322.0,Series A,2018,Manufacturing
HealthPlix,Bangalore,fitness,HealthPlix is a healthtech startup,43830.0,Series A,2018,Lifestyle
dishq,Bengaluru,fintech,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,5844.0,Seed,2018,Finance
Entropik Technology,Bengaluru,artificial intelligence,The boundaries between Human and Machines are shrinking fast.,16071.0,Seed,2018,Technology
myHQ,Delhi,collaboration,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,7305.0,Series A,2018,Technology
Trell,Bangalore City,fintech,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,18262.5,Seed,2018,Finance
Kidovators (by GyanLab),Bangalore,big data,Building future human capital through 21st Century Skills programs for K-12,2629.7999999999997,Seed,2018,Business Intelligence
Log 9 Materials,Uttar Pradesh,nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,438300.0,Seed,2018,Technology
VTION,Gurgaon,analytics,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,280512.0,Seed,2018,Business Intelligence
HousingMan.com,Bengaluru,fintech,"New Apartments, Flats for Sale in Bangalore",1504830.0,Seed,2018,Finance
Steradian Semiconductors,Bangalore,fintech,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,1512135.0,Seed,2018,Finance
RupeeCircle,Mumbai,financial services,RupeeCircle is a new age finance company.,584400.0,Seed,2018,Finance
Wooden Street,Jaipur,e-commerce,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,14610.0,Series A,2018,Commerce
The Ken,Bengaluru,digital media,The Ken is India’s first subscriptions-only business news site,21915.0,Series A,2018,Media and Entertainment
SaffronStays,Mumbai,fintech,SaffronStays connects travellers to India's Incredible hosts.,29220.0,Seed,2018,Finance
Vebbler,Bengaluru,file sharing,A personal network for close people,1512135.0,Seed,2018,Technology
Foyr,Pune,home decor,"Foyr.com is India's first online, automated interior designer",61362.0,Series A,2018,Lifestyle
MEngage,Jaipur,health care,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2556.75,Seed,2018,Health
Inner Being Wellness,Hyderabad,fintech,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",511350.0,Seed,2018,Finance
Kobster,Chennai,e-commerce,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,1512135.0,Seed,2018,Commerce
Wishberry,Mumbai,crowdfunding,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1461000.0,Series A,2018,Finance
McXtra,Andheri,finance,McXtra is a digital insurance broking startup.,18993.0,Seed,2018,Finance
Magic Crate,Bangalore,children,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",1512135.0,Seed,2018,Lifestyle
SmartVizX,Noida,software,It is a Virtual Reality Solutions StartUp,21184.5,Seed,2018,Technology
MySEODoc,Delhi,fintech,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",1512135.0,Seed,2018,Finance
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,fintech,Digital Marketing Agency,2922.0,Seed,2018,Finance
Scale Labs,Delhi,fintech,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,14610.0,Seed,2018,Finance
HungerBox,Bengaluru,b2b,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,65745.0,Series A,2018,Commerce
Biryani By Kilo,Noida,catering,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,14610.0,Seed,2018,Food & Beverages
Wholesome Habits (EAT Anytime),Mumbai,food and beverage,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,7305.0,Seed,2018,Food & Beverages
GoBumpr,Mylapore,automotive,Car Service and Bike Service Mobile App,8766.0,Seed,2018,Automobile
Fixpocket,Ahmedabad,computer,Fixpocket is a internet-based startup.,3652.5,Seed,2018,Technology
edureka!,Bangalore,android,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",29220.0,Series A,2018,Technology
Hashtag Loyalty Private Limited,Mumbai,analytics,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,1512135.0,Seed,2018,Business Intelligence
Wow Express,Mumbai,delivery,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",65745.0,Series A,2018,Transport
ZunRoof,Gurgaon,environmental consulting,ZunRoof is a rooftop focused solar startup.,242526.0,Seed,2018,Business Intelligence
Eggoz,Indore,food and beverage,Eggoz is a full-stack layer poultry business operator & service provider .,175320.0,Seed,2018,Food & Beverages
Sqrrl Fintech,Gurgaon,big data,Personal Finance,14610.0,Seed,2018,Business Intelligence
GalaxyCard,Noida,finance,GalaxyCard is a mobile based Instant credit card.,1512135.0,Seed,2018,Finance
IndiQube,Bengaluru,commercial real estate,IndiQube is a provider of co-working spaces based in Bengaluru.,219150.0,Series A,2018,Real Estate
EGK Foods,Mumbai,food and beverage,A food processing enterprise registered with StartUp India .,292200.0,Seed,2018,Food & Beverages
NirogStreet,Gurgaon,apps,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,4383.0,Seed,2018,Technology
Pixr8,Ghaziabad,digital media,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,730.5,Seed,2018,Media and Entertainment
Nivesh.com,Noida,finance,Nivesh.com is a mass market mutual funds investment platform.,438300.0,Seed,2018,Finance
Theranosis Life Sciences,Hyderabad,biotechnology,A fully functioning cell culture facility and molecular biology setup.,1512135.0,Seed,2018,Technology
Poshmiles Online Solutions Private Limited,Bengaluru,travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,1512135.0,Seed,2018,Lifestyle
